time,x,y,z
10.816,-0.01,0.01,-0.03
10.836,0.01,-0.01,-0.01
10.859,0.00,-0.00,-0.02
10.877,-0.01,-0.01,-0.02
10.896,-0.01,0.01,-0.04
10.917,-0.01,-0.02,-0.07
10.936,0.02,-0.01,-0.05
10.958,-0.00,-0.02,-0.04
10.977,0.02,0.00,-0.02
10.997,0.01,0.00,-0.04
11.016,-0.00,-0.01,-0.03
11.036,0.01,-0.00,-0.06
11.058,0.01,-0.01,-0.04
11.077,0.00,-0.02,-0.03
11.097,0.03,0.01,-0.04
11.117,-0.01,0.03,-0.05
11.137,-0.00,-0.02,-0.05
11.158,0.02,-0.00,-0.07
11.177,0.01,0.01,-0.06
11.196,-0.01,-0.02,-0.03
11.217,-0.00,-0.01,-0.07
11.237,0.02,-0.01,-0.05
11.258,0.01,-0.01,-0.04
11.277,0.00,-0.01,-0.05
11.297,-0.01,-0.01,-0.05
11.318,0.00,0.00,-0.06
11.337,-0.00,0.00,-0.07
11.358,-0.01,0.00,-0.04
11.377,0.01,-0.01,-0.04
11.397,0.01,0.00,-0.07
11.418,0.00,0.01,-0.04
11.439,-0.00,0.00,-0.05
11.458,0.01,-0.01,-0.03
11.478,0.00,-0.00,-0.04
11.496,-0.00,-0.00,-0.04
11.516,-0.00,0.01,-0.05
11.536,0.00,-0.00,-0.04
11.557,-0.00,-0.01,-0.04
11.578,0.00,0.01,-0.04
11.597,-0.00,-0.01,-0.05
11.618,-0.00,-0.00,-0.03
11.637,-0.00,0.01,-0.05
11.657,-0.02,-0.00,-0.04
11.678,-0.01,-0.00,-0.04
11.698,-0.01,-0.00,-0.06
11.718,-0.00,0.00,-0.05
11.737,0.01,-0.00,-0.03
11.758,-0.01,-0.02,-0.02
11.778,-0.01,0.01,-0.01
11.798,0.01,0.01,-0.02
11.818,-0.00,-0.00,-0.02
11.838,-0.01,-0.01,-0.01
11.859,-0.01,0.00,-0.02
11.879,0.00,-0.00,-0.01
11.898,-0.00,-0.01,-0.03
11.918,-0.00,0.01,-0.05
11.938,0.01,0.00,-0.03
11.959,0.01,-0.01,-0.02
11.979,0.00,-0.00,-0.01
11.998,0.00,0.01,-0.06
12.019,0.01,-0.00,-0.06
12.037,-0.01,-0.00,-0.03
12.059,0.02,0.03,-0.01
12.079,-0.02,-0.00,-0.02
12.098,0.01,-0.03,-0.05
12.122,-0.01,-0.00,-0.05
12.138,0.03,0.00,-0.04
12.159,-0.01,0.01,-0.02
12.178,-0.02,0.00,-0.06
12.198,-0.00,-0.02,-0.04
12.220,0.02,-0.00,-0.03
12.238,-0.00,-0.00,-0.05
12.259,0.00,0.01,-0.05
12.279,-0.03,-0.01,-0.03
12.298,0.08,0.02,-0.04
12.321,-0.05,0.00,-0.08
12.339,0.00,-0.00,-0.04
12.359,0.01,0.02,-0.02
12.378,-0.01,-0.03,-0.06
12.399,0.00,0.02,-0.05
12.419,-0.01,0.00,-0.05
12.440,0.02,0.00,-0.05
12.460,-0.01,-0.02,-0.03
12.480,-0.01,0.01,-0.06
12.498,0.01,0.00,-0.08
12.521,-0.01,-0.00,-0.03
12.539,0.01,-0.01,-0.07
12.559,0.01,-0.01,-0.03
12.580,0.02,-0.01,0.00
12.599,-0.02,-0.00,-0.06
12.621,0.01,0.01,-0.04
12.638,0.00,0.01,-0.05
12.660,-0.01,-0.03,-0.06
12.680,0.01,0.01,-0.04
12.699,-0.00,0.01,-0.04
12.719,-0.01,0.00,-0.03
12.739,0.01,-0.01,-0.03
12.760,-0.00,0.00,-0.02
12.780,-0.00,-0.00,-0.06
12.799,0.02,-0.01,-0.05
12.819,0.01,-0.02,-0.04
12.839,0.01,-0.01,-0.04
12.860,0.01,-0.01,-0.05
12.880,0.01,-0.01,-0.04
12.899,-0.01,0.00,-0.06
12.920,0.00,0.01,-0.05
12.940,0.00,-0.01,-0.06
12.960,-0.01,0.00,-0.08
12.980,0.01,-0.01,-0.06
13.000,0.01,0.01,-0.05
13.021,0.01,-0.00,-0.06
13.039,0.00,0.00,-0.04
13.061,-0.01,0.01,-0.03
13.080,-0.01,-0.00,-0.04
13.101,-0.01,0.01,-0.04
13.121,0.01,0.01,-0.06
13.141,0.00,0.01,-0.07
13.160,-0.01,0.00,-0.05
13.180,0.00,0.01,-0.05
13.201,0.01,-0.01,-0.05
13.221,0.01,-0.01,-0.03
13.240,0.01,-0.02,-0.04
13.265,-0.01,-0.00,-0.06
13.280,0.01,0.00,-0.04
13.300,-0.01,-0.01,-0.05
13.321,0.01,-0.02,-0.04
13.341,-0.02,0.02,-0.06
13.361,0.01,0.01,-0.03
13.380,-0.02,-0.01,-0.04
13.401,-0.02,-0.00,-0.05
13.421,0.01,-0.01,-0.04
13.441,0.02,0.02,-0.03
13.461,-0.02,0.01,-0.06
13.480,-0.00,-0.02,-0.06
13.502,-0.00,-0.01,-0.02
13.521,0.00,-0.00,-0.04
13.540,0.02,0.01,-0.03
13.561,-0.02,0.02,-0.01
13.580,-0.00,0.01,-0.03
13.601,-0.00,0.00,-0.06
13.621,-0.01,-0.01,-0.04
13.641,-0.00,-0.01,-0.05
13.662,-0.02,0.00,-0.04
13.680,0.01,-0.02,-0.03
13.705,-0.01,-0.01,-0.04
13.721,-0.01,-0.01,-0.06
13.741,0.01,0.02,-0.01
13.761,-0.00,-0.02,-0.05
13.781,-0.00,-0.01,-0.01
13.801,-0.00,0.00,-0.05
13.822,0.02,-0.00,-0.05
13.840,0.00,0.01,-0.07
13.862,0.00,-0.00,-0.03
13.880,0.01,-0.02,-0.03
13.902,0.00,-0.01,-0.03
13.922,-0.02,-0.00,-0.02
13.942,0.01,0.01,-0.03
13.962,-0.01,-0.01,-0.02
13.982,-0.01,-0.01,-0.03
14.002,0.00,-0.01,-0.04
14.022,0.01,-0.01,-0.06
14.040,-0.00,-0.01,-0.05
14.062,0.01,-0.01,-0.05
14.081,0.01,-0.03,-0.05
14.104,-0.01,-0.01,-0.06
14.122,0.00,-0.00,-0.05
14.141,0.00,-0.02,-0.06
14.162,0.00,-0.00,-0.06
14.183,-0.00,-0.00,-0.06
14.202,0.00,-0.01,-0.07
14.222,-0.01,0.01,-0.05
14.243,-0.01,0.01,-0.05
14.262,-0.01,-0.00,-0.05
14.284,-0.00,-0.01,-0.04
14.302,-0.01,-0.00,-0.07
14.322,-0.01,-0.00,-0.06
14.341,0.00,-0.00,-0.04
14.362,-0.01,0.01,-0.07
14.384,0.01,-0.00,-0.08
14.402,0.01,-0.01,-0.04
14.422,0.01,0.00,-0.04
14.442,-0.00,-0.00,-0.05
14.462,0.01,0.01,-0.03
14.484,0.01,0.01,-0.04
14.503,-0.00,-0.01,-0.04
14.522,-0.02,-0.02,-0.04
14.541,0.00,0.01,-0.05
14.562,0.01,-0.00,-0.05
14.582,0.00,-0.01,-0.05
14.603,0.00,0.01,-0.05
14.623,0.00,-0.02,-0.03
14.643,0.01,0.00,-0.04
14.662,-0.00,0.00,-0.06
14.682,-0.00,-0.01,-0.05
14.702,-0.01,0.01,-0.06
14.723,-0.00,0.00,-0.05
14.743,0.00,-0.02,-0.07
14.762,-0.01,-0.01,-0.07
14.782,-0.00,-0.01,-0.05
14.803,0.00,-0.01,-0.06
14.823,-0.01,0.00,-0.07
14.843,-0.02,-0.00,-0.05
14.862,-0.00,-0.01,-0.05
14.884,0.01,-0.01,-0.06
14.903,0.00,-0.01,-0.04
14.923,-0.00,-0.02,-0.04
14.943,0.02,-0.01,-0.05
14.962,0.01,0.01,-0.06
14.984,0.01,-0.00,-0.06
15.003,0.01,0.00,-0.05
15.023,-0.02,-0.01,-0.04
15.042,0.00,-0.00,-0.05
15.063,-0.02,0.00,-0.05
15.084,0.01,-0.00,-0.04
15.104,0.00,0.00,-0.05
15.124,-0.01,-0.01,-0.04
15.144,0.01,-0.01,-0.05
15.163,0.01,-0.01,-0.06
15.184,0.00,0.00,-0.06
15.204,-0.01,-0.01,-0.06
15.223,0.02,0.01,-0.04
15.244,0.01,-0.01,-0.05
15.263,0.00,-0.00,-0.05
15.284,-0.00,-0.00,-0.04
15.304,0.01,-0.00,-0.04
15.324,-0.00,-0.01,-0.07
15.344,0.01,0.02,-0.05
15.363,-0.02,-0.01,-0.04
15.384,-0.01,-0.00,-0.05
15.404,0.01,-0.02,-0.05
15.424,-0.01,0.01,-0.06
15.444,0.03,0.01,-0.04
15.463,-0.00,0.01,-0.04
