time,x,y,z
9.628,-0.05,0.09,-0.04
9.648,-0.06,0.07,-0.05
9.667,-0.05,0.07,-0.04
9.688,-0.04,0.06,-0.03
9.708,-0.05,0.08,-0.06
9.727,-0.05,0.08,-0.06
9.747,-0.05,0.07,-0.04
9.767,-0.05,0.07,-0.07
9.787,-0.04,0.07,-0.05
9.810,-0.04,0.08,-0.05
9.828,-0.04,0.06,-0.05
9.847,-0.04,0.07,-0.02
9.867,-0.04,0.07,-0.06
9.888,-0.05,0.07,-0.04
9.907,-0.04,0.08,-0.04
9.928,-0.05,0.09,-0.06
9.947,-0.04,0.06,-0.03
9.967,-0.06,0.07,-0.05
9.988,-0.03,0.06,-0.06
10.008,-0.04,0.05,-0.06
10.028,-0.05,0.06,-0.06
10.048,-0.04,0.09,-0.05
10.067,-0.06,0.06,-0.06
10.088,-0.03,0.08,-0.04
10.108,-0.03,0.07,-0.04
10.129,-0.04,0.05,-0.03
10.148,-0.04,0.08,-0.04
10.168,-0.05,0.08,-0.07
10.189,-0.04,0.08,-0.07
10.208,-0.04,0.09,-0.04
10.229,-0.03,0.09,-0.05
10.250,-0.05,0.08,-0.05
10.268,-0.04,0.07,-0.03
10.288,-0.03,0.06,-0.05
10.307,-0.05,0.05,-0.05
10.328,-0.02,0.05,-0.03
10.349,-0.04,0.04,-0.05
10.368,-0.04,0.07,-0.03
10.389,-0.03,0.08,-0.04
10.408,-0.05,0.06,-0.07
10.428,-0.04,0.06,-0.05
10.450,-0.03,0.07,-0.05
10.469,-0.03,0.07,-0.06
10.488,-0.03,0.05,-0.01
10.508,-0.04,0.06,-0.07
10.529,-0.05,0.06,-0.05
10.549,-0.02,0.09,-0.03
10.569,-0.03,0.06,-0.03
10.589,-0.04,0.05,-0.03
10.609,-0.03,0.07,-0.06
10.630,-0.03,0.06,-0.03
10.649,-0.03,0.05,-0.07
10.669,-0.04,0.05,-0.02
10.689,-0.05,0.07,-0.04
10.709,-0.04,0.07,-0.06
10.729,-0.01,0.07,-0.02
10.749,-0.06,0.07,-0.05
10.770,-0.02,0.06,-0.06
10.789,-0.04,0.05,-0.04
10.808,-0.04,0.06,-0.03
10.830,-0.05,0.04,-0.05
10.849,-0.02,0.07,-0.04
10.870,-0.05,0.09,-0.04
10.889,-0.03,0.07,-0.07
10.909,-0.04,0.07,-0.02
10.930,-0.04,0.07,-0.04
10.948,-0.03,0.06,-0.05
10.969,-0.03,0.06,-0.05
10.989,-0.04,0.06,-0.07
11.010,-0.02,0.04,-0.02
11.029,-0.04,0.06,-0.05
11.049,-0.04,0.07,-0.06
11.069,-0.04,0.06,-0.06
11.089,-0.03,0.06,-0.05
11.109,-0.05,0.06,-0.05
11.130,-0.03,0.08,-0.04
11.150,-0.03,0.05,-0.05
11.170,-0.03,0.03,-0.05
11.189,-0.01,0.07,-0.04
11.210,-0.05,0.05,-0.04
11.230,-0.03,0.05,-0.05
