time,x,y,z
8.728,0.24,-0.25,-0.02
8.749,0.24,-0.21,-0.13
8.768,0.22,-0.26,-0.06
8.789,0.17,-0.28,-0.04
8.810,0.12,-0.29,-0.07
8.829,0.08,-0.18,-0.07
8.849,0.06,-0.11,-0.07
8.869,-0.05,-0.12,-0.03
8.889,-0.09,-0.16,-0.05
8.909,-0.11,-0.18,-0.02
8.929,-0.13,-0.12,-0.08
8.949,-0.14,-0.11,-0.05
8.969,-0.05,-0.13,-0.07
8.989,-0.02,-0.12,-0.06
9.010,-0.03,-0.12,-0.02
9.029,-0.01,-0.12,-0.11
9.049,0.01,-0.15,-0.02
9.069,-0.02,-0.16,-0.04
9.089,-0.03,-0.13,-0.05
9.110,-0.09,-0.12,-0.03
9.129,-0.16,-0.03,-0.07
9.150,-0.24,-0.04,-0.02
9.170,-0.21,-0.07,-0.00
9.190,-0.22,-0.09,-0.02
9.211,-0.12,-0.12,-0.04
9.229,-0.26,-0.15,-0.04
9.250,-0.61,-0.10,-0.02
9.268,-1.20,-0.10,0.02
9.288,-1.40,-0.17,0.18
9.310,-1.65,-0.37,0.04
9.329,-0.98,-0.60,-0.06
9.350,-0.15,-0.68,-0.15
9.370,0.57,-0.66,-0.15
9.390,1.05,-0.37,-0.11
9.411,1.08,-0.07,-0.11
9.429,0.84,0.20,-0.10
9.450,0.50,0.37,-0.09
9.473,0.38,0.92,-0.08
9.491,0.11,0.38,0.11
9.511,0.16,0.43,0.02
9.530,0.24,0.28,-0.07
9.549,0.31,-0.09,-0.14
9.570,0.20,-0.26,-0.02
9.591,0.16,-0.25,-0.03
9.611,0.19,-0.17,-0.04
9.630,0.34,-0.03,-0.08
9.650,0.42,0.14,-0.11
9.672,0.49,0.14,-0.08
9.691,0.43,0.08,-0.02
9.711,0.32,-0.01,-0.07
9.731,0.15,-0.10,-0.08
9.750,-0.14,-0.12,-0.08
9.770,-1.30,-0.35,-0.04
9.790,-2.25,-0.92,0.13
9.811,-0.28,-0.04,-0.08
9.831,-0.37,0.32,0.06
9.849,-0.33,0.46,-0.02
9.871,-0.06,0.55,-0.02
9.890,0.15,0.46,-0.10
9.911,0.06,0.46,0.04
9.930,0.09,0.34,-0.01
9.951,0.11,0.24,-0.07
9.972,0.05,0.07,-0.07
9.991,0.06,-0.07,-0.10
10.011,0.20,-0.81,-0.15
10.031,0.61,-2.47,-0.00
10.051,-0.09,-0.50,-0.26
10.071,0.19,-0.39,0.15
10.091,0.09,-0.11,-0.08
10.112,0.08,-0.01,0.05
10.131,0.30,0.04,-0.10
10.151,0.29,-0.04,-0.07
10.174,0.14,-0.12,-0.07
10.192,0.10,-0.15,-0.15
10.212,0.39,-0.60,-0.02
10.231,0.50,-0.50,-0.08
10.251,0.52,-0.27,-0.10
10.272,0.32,-0.00,-0.10
10.291,0.08,0.22,-0.05
10.312,-0.12,0.30,-0.00
10.332,-0.28,0.24,0.01
10.351,-0.41,0.09,-0.01
10.372,-1.25,0.11,0.03
10.392,-1.33,0.09,0.04
10.412,-0.43,-0.26,-0.07
10.430,-0.64,0.01,0.10
10.451,-0.41,0.21,-0.02
10.471,0.01,0.40,-0.03
10.492,0.29,0.34,-0.07
10.512,0.33,0.31,-0.08
10.531,0.27,0.13,0.00
10.552,0.08,0.09,-0.05
10.572,-0.12,0.13,-0.07
10.592,-0.07,0.24,-0.04
10.612,0.08,0.22,-0.09
10.632,0.15,0.09,-0.07
10.652,0.12,0.01,-0.07
10.672,0.14,-0.09,-0.07
10.693,0.07,-0.15,-0.07
10.712,0.10,-0.26,-0.06
10.733,0.13,-0.29,-0.08
10.752,0.11,-0.25,-0.07
10.772,0.07,-0.23,-0.11
10.792,0.05,-0.25,-0.06
10.812,-0.01,-0.24,0.01
10.832,0.01,-0.18,-0.06
10.852,0.07,-0.14,-0.09
10.873,0.10,-0.13,-0.04
10.893,0.02,-0.15,-0.04
10.914,-0.01,-0.26,-0.06
10.932,-0.07,-0.32,-0.07
10.952,-0.10,-0.61,-0.02
10.973,0.00,-1.25,-0.09
10.993,-0.02,-1.92,-0.02
11.012,-0.07,-2.79,0.08
11.033,-0.06,-2.41,-0.02
11.059,-0.11,-1.21,-0.17
11.072,-0.09,0.19,-0.21
11.093,0.00,1.39,-0.15
11.113,0.04,1.94,-0.03
11.133,0.10,1.97,0.02
11.152,0.05,1.00,-0.03
11.173,-0.04,-0.46,0.02
11.193,0.02,-0.10,-0.12
11.213,0.12,0.03,-0.06
11.232,0.18,0.01,-0.10
11.253,0.01,-0.06,0.01
11.273,-0.10,0.33,-0.07
11.292,-0.08,0.69,0.05
11.313,-0.11,1.03,0.10
11.333,-0.14,1.46,-0.03
11.354,0.14,0.93,0.05
11.374,-0.03,1.07,-0.01
11.393,-0.02,1.08,0.04
11.413,-0.09,0.42,-0.06
11.433,-0.02,-1.60,-0.21
11.461,-0.10,-2.16,-0.13
11.474,-0.09,-0.22,-0.12
11.492,0.02,-0.32,0.13
11.512,-0.06,-0.33,-0.16
11.534,0.04,-0.49,0.00
11.554,0.08,-0.21,-0.12
11.573,0.04,-0.11,0.03
11.592,0.04,-0.03,0.01
11.613,0.03,0.01,-0.09
11.632,0.19,-0.03,-0.07
11.660,0.15,0.04,-0.07
11.673,0.12,0.03,-0.03
11.694,-0.03,0.06,-0.07
11.714,0.02,0.04,-0.03
11.734,-0.04,-0.03,-0.04
11.755,0.08,-0.10,-0.04
11.774,0.26,-0.17,-0.06
11.792,0.41,-0.09,-0.05
11.814,0.61,-0.06,-0.09
11.834,0.55,-0.01,-0.13
11.856,0.38,0.01,-0.03
11.875,0.10,0.03,-0.05
11.895,-0.13,0.06,-0.03
11.913,-0.31,0.03,-0.01
11.934,-0.37,-0.00,-0.06
11.957,-0.38,-0.05,-0.06
11.975,-0.25,-0.10,-0.05
11.996,-0.14,-0.10,-0.03
12.014,-0.07,-0.09,-0.02
12.033,-0.76,-0.20,-0.06
12.057,-0.80,-0.16,0.03
12.075,-1.20,-0.06,0.03
12.096,-1.12,0.06,0.10
12.114,-0.69,0.22,-0.01
12.133,-0.13,0.39,-0.05
12.159,0.47,0.33,-0.12
12.174,0.72,0.33,-0.08
12.195,0.74,0.16,-0.01
12.213,0.35,0.10,-0.08
12.235,0.16,0.09,-0.06
12.255,0.05,0.17,-0.06
12.274,0.06,0.15,-0.05
12.294,0.11,0.11,-0.04
12.314,0.14,-0.17,-0.11
12.334,0.24,-1.54,-0.03
12.355,0.05,-0.82,-0.26
12.375,0.11,-0.92,0.11
12.395,0.13,-0.48,-0.03
12.415,0.06,-0.14,0.04
12.435,0.25,0.05,-0.05
12.454,0.24,0.08,-0.09
12.474,-0.13,0.14,-0.02
12.495,-0.20,0.18,-0.04
12.515,-0.25,0.12,-0.02
12.534,-0.08,0.21,-0.04
12.556,-0.17,0.19,-0.05
12.575,-0.01,0.16,-0.03
12.595,0.02,0.12,-0.04
12.614,0.06,-0.02,-0.06
12.635,0.00,-0.22,-0.09
12.654,0.03,-0.26,-0.07
12.675,0.05,-0.32,-0.01
12.695,0.08,-0.16,0.02
12.715,-0.06,0.13,-0.04
12.736,0.01,-0.28,-0.13
12.754,-0.03,-0.46,-0.09
12.775,0.02,0.26,0.01
12.794,0.05,0.68,-0.05
12.814,-0.15,0.06,0.03
12.835,0.01,-0.02,-0.06
12.855,-0.04,0.04,-0.09
12.875,0.01,-0.05,-0.03
12.894,-0.02,-0.08,0.01
12.914,-0.04,-0.08,-0.08
12.936,0.06,-0.27,-0.12
12.955,0.07,-0.13,-0.06
12.975,-0.03,0.01,0.01
12.995,-0.05,0.01,-0.01
13.015,-0.01,-0.00,-0.06
13.036,0.01,-0.07,-0.12
13.055,0.03,-0.04,-0.06
13.076,-0.06,0.11,-0.05
13.096,-0.06,0.10,0.00
13.116,-0.04,0.02,-0.06
13.136,0.11,-0.14,-0.08
13.155,0.03,-0.14,-0.05
13.175,0.09,-0.08,0.00
13.195,0.00,-0.02,-0.06
13.216,-0.08,-0.03,-0.05
13.236,-0.15,-0.05,-0.07
13.255,-0.04,-0.01,-0.06
13.276,0.06,-0.05,-0.03
13.295,0.05,-0.04,-0.03
13.316,-0.06,0.01,-0.07
13.335,-0.06,-0.02,-0.07
13.355,0.03,-0.03,-0.04
13.375,0.02,0.05,-0.01
13.395,0.04,-0.05,-0.01
13.415,-0.01,-0.08,-0.07
13.437,0.08,-0.09,-0.05
13.456,-0.11,0.03,-0.00
13.476,-0.06,0.01,-0.02
13.496,-0.07,0.01,-0.05
13.516,0.00,-0.07,-0.06
13.536,0.04,-0.17,-0.08
13.555,0.10,-0.12,-0.05
13.576,0.02,0.01,-0.03
13.595,-0.03,0.00,0.00
13.616,-0.02,0.04,-0.12
13.636,0.01,-0.04,-0.09
13.656,0.03,-0.09,-0.06
13.676,-0.07,-0.14,-0.06
13.696,-0.17,-1.10,-0.01
13.716,-0.18,-1.27,-0.14
13.736,-0.07,-1.02,-0.09
13.756,-0.04,-0.54,-0.14
13.776,-0.01,-0.16,-0.03
13.796,-0.01,0.32,-0.06
13.818,0.07,0.73,0.00
13.837,0.20,2.12,0.09
13.856,0.11,1.40,0.14
13.876,0.02,0.16,-0.18
13.896,0.05,0.04,0.05
13.917,-0.05,0.23,-0.10
13.937,-0.09,0.56,0.00
13.955,-0.05,0.66,0.13
13.976,-0.09,0.80,-0.07
13.996,-0.00,0.50,0.03
14.016,0.07,0.33,-0.11
14.037,0.14,0.05,-0.04
14.056,0.11,-0.23,-0.06
14.076,0.06,-0.54,-0.05
14.097,-0.06,-0.72,-0.07
14.117,-0.12,-0.64,-0.11
14.137,-0.10,-1.00,-0.08
14.155,-0.04,-1.61,0.01
14.176,0.05,-0.42,-0.11
14.197,0.05,-0.47,0.02
14.217,0.03,-0.57,-0.04
14.238,-0.02,-0.57,-0.01
14.258,0.03,-0.39,-0.18
14.277,0.07,-0.40,-0.02
14.298,-0.04,-0.27,-0.06
14.317,-0.11,-0.09,-0.05
14.337,-0.04,-0.04,-0.04
14.357,-0.11,0.08,-0.07
14.377,-0.01,0.27,-0.07
14.397,0.04,0.35,-0.01
14.418,0.08,0.39,0.01
14.438,0.19,1.13,0.07
14.457,0.09,1.80,0.07
14.477,-0.04,0.10,0.00
14.498,-0.01,-0.12,-0.06
14.518,-0.14,-0.17,-0.04
14.537,0.05,-0.23,-0.15
14.557,0.02,-0.18,0.09
14.576,-0.05,0.03,-0.07
14.598,-0.20,-0.19,-0.03
14.618,0.08,-0.03,-0.02
14.638,0.14,0.06,-0.07
14.658,0.10,-0.15,-0.00
14.677,-0.07,-0.22,-0.04
14.697,-0.15,-0.16,-0.07
14.717,-0.01,-0.10,-0.02
14.738,-0.04,0.12,-0.04
14.758,0.02,0.36,-0.02
14.778,0.10,0.14,-0.01
14.798,0.14,-0.04,-0.07
14.818,0.10,-0.03,-0.04
14.838,0.11,-0.09,-0.02
14.858,-0.06,-0.08,-0.04
14.878,-0.14,-0.10,-0.06
14.898,-0.23,-0.10,-0.04
14.919,-0.13,-0.03,-0.02
14.938,0.07,-0.08,-0.02
14.958,0.09,0.06,-0.05
14.981,0.09,0.05,-0.02
14.998,0.00,0.63,-0.09
15.019,-0.01,0.66,0.03
15.041,-0.08,-0.06,0.02
15.070,0.05,-1.11,-0.13
15.078,0.05,-0.51,-0.12
15.098,0.05,0.09,0.01
15.118,0.00,0.09,-0.06
15.141,-0.03,-0.01,-0.03
15.164,-0.06,-0.08,-0.04
15.178,-0.04,-0.02,-0.06
15.198,0.01,-0.03,0.01
15.219,0.06,0.10,-0.06
15.239,0.06,-0.03,-0.06
15.259,-0.01,0.05,-0.08
15.278,0.02,-0.03,-0.03
15.299,0.01,-0.01,0.03
15.319,0.07,-0.10,0.00
15.341,-0.09,-0.03,-0.06
15.370,-0.08,-0.08,-0.02
15.378,-0.04,-0.02,-0.04
15.399,0.10,0.00,-0.03
15.419,-0.00,-0.01,-0.02
15.439,-0.07,0.06,-0.06
15.460,-0.02,0.04,-0.03
15.479,0.04,-0.01,-0.02
15.503,0.09,-0.25,-0.03
15.519,0.04,-0.09,-0.08
15.540,0.00,0.03,-0.03
15.559,0.02,0.03,0.03
15.579,-0.01,0.01,-0.04
15.599,-0.03,-0.09,-0.06
